name,mimeType,modifiedTime,webViewLink,id,matched_query
blc_checkpoints_clean.json,application/json,2026-06-01T03:01:33.322Z,https://drive.google.com/file/d/1YZOq2-_3Tuoq7W2ED3hJWa3TW5AKNSLv/view?usp=drivesdk,1YZOq2-_3Tuoq7W2ED3hJWa3TW5AKNSLv,Jeffrey Burns
blc_checkpoints_raw.json,application/json,2026-06-01T03:00:18.240Z,https://drive.google.com/file/d/1jFPn-YIbhqLmYzQoR8zEI-y0YwyPn0tu/view?usp=drivesdk,1jFPn-YIbhqLmYzQoR8zEI-y0YwyPn0tu,Jeffrey Burns
Copy of The Bootstrap Entrepreneur - Paperback.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2026-05-30T06:07:18.821Z,https://docs.google.com/document/d/1nT8uUPW6KIokDJWXeeTMLXzLzODTOrZ2/edit?usp=drivesdk&ouid=118316806941171653334&rtpof=true&sd=true,1nT8uUPW6KIokDJWXeeTMLXzLzODTOrZ2,Jeff Burns
capabilities.md,text/markdown,2026-05-27T03:21:58.962Z,https://drive.google.com/file/d/1mlH7um-CCtOiqZVMwhDv8ZxkE353PRRZ/view?usp=drivesdk,1mlH7um-CCtOiqZVMwhDv8ZxkE353PRRZ,Dr. Burns
SKILL.md,text/markdown,2026-05-21T11:32:49.967Z,https://drive.google.com/file/d/10L4omokb8PL8wbfkknjxfEUB-AicgzIl/view?usp=drivesdk,10L4omokb8PL8wbfkknjxfEUB-AicgzIl,Jeffrey Burns
SKILL.md,text/markdown,2026-05-21T11:32:49.236Z,https://drive.google.com/file/d/1ij5Zcal-mSmK-4PdVDg8ODbMN_TqqrVZ/view?usp=drivesdk,1ij5Zcal-mSmK-4PdVDg8ODbMN_TqqrVZ,Jeffrey Burns
10-plf-seed-launch.md,text/markdown,2026-05-21T11:32:41.805Z,https://drive.google.com/file/d/1Z9OdTNGOa4jQ-7rC4tLVzr8t1MbgrnIM/view?usp=drivesdk,1Z9OdTNGOa4jQ-7rC4tLVzr8t1MbgrnIM,Jeffrey Burns
11-plf-jv-launch.md,text/markdown,2026-05-21T11:32:41.533Z,https://drive.google.com/file/d/1f8_GDwwvUyI-kHDfwndQvv3j1-IPXJGR/view?usp=drivesdk,1f8_GDwwvUyI-kHDfwndQvv3j1-IPXJGR,Jeffrey Burns
Cris Vinson Knowledge Base-20260410085722.md,text/markdown,2026-05-21T11:32:35.981Z,https://drive.google.com/file/d/11K8hmrIlUJEcQ52WTVB_Y3_YC4JsTTJs/view?usp=drivesdk,11K8hmrIlUJEcQ52WTVB_Y3_YC4JsTTJs,Jeff Burns
dm-summary.md,text/markdown,2026-05-21T11:32:35.315Z,https://drive.google.com/file/d/1u-QI3l36bJRRpAxZOuo8IPfHBflO4Tc4/view?usp=drivesdk,1u-QI3l36bJRRpAxZOuo8IPfHBflO4Tc4,Dr. Burns
Coaching Transcripts 1 1 1.md,text/markdown,2026-05-21T11:32:30.748Z,https://drive.google.com/file/d/1WlsDh81p9gbSSz8aZC1CLBB-_43pdNp5/view?usp=drivesdk,1WlsDh81p9gbSSz8aZC1CLBB-_43pdNp5,Jeff Burns
The 30-Day Business Launch Challenge.md,text/markdown,2026-05-21T11:32:26.650Z,https://drive.google.com/file/d/1R-Ww7YedgE-E6GEmEqBHrmtWu1j-eFFX/view?usp=drivesdk,1R-Ww7YedgE-E6GEmEqBHrmtWu1j-eFFX,Jeff Burns
BLC PLF Launch Campaign.md,text/markdown,2026-05-21T11:32:26.601Z,https://drive.google.com/file/d/1RULtikr72k6q2kkWXzRK5aL9e7A7oRsZ/view?usp=drivesdk,1RULtikr72k6q2kkWXzRK5aL9e7A7oRsZ,Jeff Burns
I Studied 500+ Gamified Apps (Here's What Actually Works) — Transcript.md,text/markdown,2026-05-21T11:32:22.567Z,https://drive.google.com/file/d/1-qrULu3_QF76asz-E_9Q7N8dlVrI0Ejy/view?usp=drivesdk,1-qrULu3_QF76asz-E_9Q7N8dlVrI0Ejy,Dr. Burns
message_1.json,application/json,2026-05-11T12:52:18.000Z,https://drive.google.com/file/d/1Tr9TjtTqzJ1mb1hiM-LypZCJZh1RtgGR/view?usp=drivesdk,1Tr9TjtTqzJ1mb1hiM-LypZCJZh1RtgGR,jeffreyburns.com
2160389038048023.png,image/png,2026-05-07T18:30:48.000Z,https://drive.google.com/file/d/1VXEMQ7zyvkTCRjIV827BzfyLk1NvsLWK/view?usp=drivesdk,1VXEMQ7zyvkTCRjIV827BzfyLk1NvsLWK,Jeffrey Burns
NO_TAGS_Page_41-60.csv,text/csv,2026-05-04T03:28:41.360Z,https://drive.google.com/file/d/1hgnxUbOrjCApqWhlQ8pRxbCKjX9iaubS/view?usp=drivesdk,1hgnxUbOrjCApqWhlQ8pRxbCKjX9iaubS,Jeff Burns
9WaysToHaveYourEbookDoneByNextFriday.pdf,application/pdf,2026-04-20T07:38:01.105Z,https://drive.google.com/file/d/1uLjlQorv1V1d1Vp1ZbIOw7rTrQWI3HgI/view?usp=drivesdk,1uLjlQorv1V1d1Vp1ZbIOw7rTrQWI3HgI,Jeff Burns
message_1.json,application/json,2026-04-17T13:40:40.000Z,https://drive.google.com/file/d/1aX-vdqvzzg71OblL9LADXDYO2hyUitKX/view?usp=drivesdk,1aX-vdqvzzg71OblL9LADXDYO2hyUitKX,Jeffrey Burns
message_1.json,application/json,2026-04-17T13:40:40.000Z,https://drive.google.com/file/d/1zxM0Z2wdVB1rxsfT66T1HIuSF-R8cv0c/view?usp=drivesdk,1zxM0Z2wdVB1rxsfT66T1HIuSF-R8cv0c,Dr. Burns
message_1.json,application/json,2026-04-11T10:07:58.000Z,https://drive.google.com/file/d/18ij10n1R2z0Zh4ss1Z8ttk04wCEbeOQr/view?usp=drivesdk,18ij10n1R2z0Zh4ss1Z8ttk04wCEbeOQr,Jeffrey Burns
Cris Vinson Knowledge Base-20260410085722.md,text/markdown,2026-04-10T02:02:32.230Z,https://drive.google.com/file/d/12Mv1wnFFn_YzcCdRnUhv5E5MvtzCbHjN/view?usp=drivesdk,12Mv1wnFFn_YzcCdRnUhv5E5MvtzCbHjN,Jeff Burns
message_1.json,application/json,2026-04-09T10:54:16.000Z,https://drive.google.com/file/d/13dDy5uPUD79_g7iJOqBSXHMfhfeBoC7T/view?usp=drivesdk,13dDy5uPUD79_g7iJOqBSXHMfhfeBoC7T,Jeffrey Burns
Implementation Plan: Jeffrey Burns Website,application/vnd.google-apps.document,2026-04-08T18:54:52.608Z,https://docs.google.com/document/d/1a9t8nQnNmGZAPB0Wa4wS3nwgT5ZkEGxyn-7XkFQOqAk/edit?usp=drivesdk,1a9t8nQnNmGZAPB0Wa4wS3nwgT5ZkEGxyn-7XkFQOqAk,Jeffrey Burns
message_1.json,application/json,2026-04-06T15:51:30.000Z,https://drive.google.com/file/d/1KpqarGh0KnmuNT9AzzSo3HoNIf8M1DsY/view?usp=drivesdk,1KpqarGh0KnmuNT9AzzSo3HoNIf8M1DsY,Jeffrey Burns
message_1.json,application/json,2026-04-06T15:51:30.000Z,https://drive.google.com/file/d/1xzw3BfXbUOjfN6VXOU5GimIiOzmJ_M43/view?usp=drivesdk,1xzw3BfXbUOjfN6VXOU5GimIiOzmJ_M43,Dr. Burns
message_1.json,application/json,2026-04-04T13:50:32.000Z,https://drive.google.com/file/d/1BBjmMV-Aw5AmL8EwxhIibdLfhOMLRb3O/view?usp=drivesdk,1BBjmMV-Aw5AmL8EwxhIibdLfhOMLRb3O,Jeffrey Burns
2365665050552320.pdf,application/pdf,2026-04-02T13:45:52.000Z,https://drive.google.com/file/d/1B3HjBz2dsW7ziHGRO-1Ja0dSn1RxPsL7/view?usp=drivesdk,1B3HjBz2dsW7ziHGRO-1Ja0dSn1RxPsL7,Jeffrey Burns
1140895708113601.jpg,image/jpeg,2026-04-02T13:45:52.000Z,https://drive.google.com/file/d/1eCjeyrG6XDIO5pe4dSE7bwzxIah2EwoN/view?usp=drivesdk,1eCjeyrG6XDIO5pe4dSE7bwzxIah2EwoN,Jeffrey Burns
message_1.json,application/json,2026-04-02T13:44:06.000Z,https://drive.google.com/file/d/1lVtLDQTNJL2LUiVf3Xvz3CTRBJfBmnxZ/view?usp=drivesdk,1lVtLDQTNJL2LUiVf3Xvz3CTRBJfBmnxZ,Jeffrey Burns
message_1.json,application/json,2026-04-02T13:44:06.000Z,https://drive.google.com/file/d/12gIFWvHcvhB019ZW1JXxNH16ilVs0_F8/view?usp=drivesdk,12gIFWvHcvhB019ZW1JXxNH16ilVs0_F8,Jeffrey Burns
message_1.json,application/json,2026-04-02T13:44:06.000Z,https://drive.google.com/file/d/1XFujAV5AP43J9Q7ZUZGVSsnosgn-62le/view?usp=drivesdk,1XFujAV5AP43J9Q7ZUZGVSsnosgn-62le,jeffreyburns.com
message_1.json,application/json,2026-04-02T13:44:06.000Z,https://drive.google.com/file/d/1W8W6WMPaR_-9j1OqukgFHrt2vbqqcsK0/view?usp=drivesdk,1W8W6WMPaR_-9j1OqukgFHrt2vbqqcsK0,jeffreyburns.com
message_1.json,application/json,2026-04-02T13:44:06.000Z,https://drive.google.com/file/d/1AB5APjL-g8tlDtQi5fpcWQRgtP_xwggs/view?usp=drivesdk,1AB5APjL-g8tlDtQi5fpcWQRgtP_xwggs,Dr. Burns
1598421161175070.jpg,image/jpeg,2026-04-02T13:44:06.000Z,https://drive.google.com/file/d/1PNRxjzvl0UlyJilepTQ8cTcM1Toq8P98/view?usp=drivesdk,1PNRxjzvl0UlyJilepTQ8cTcM1Toq8P98,Dr. Burns
1399678151505686.jpg,image/jpeg,2026-04-02T13:44:04.000Z,https://drive.google.com/file/d/1sRZ6dZ54Kl6jQKH81rC6-vWlPC-bD3Bh/view?usp=drivesdk,1sRZ6dZ54Kl6jQKH81rC6-vWlPC-bD3Bh,Jeffrey Burns
1237635274882096.png,image/png,2026-04-02T13:44:04.000Z,https://drive.google.com/file/d/14dGKoHtfKV42psZjQWYypbjkayLC4BtE/view?usp=drivesdk,14dGKoHtfKV42psZjQWYypbjkayLC4BtE,Jeffrey Burns
Project Brief: Jeffrey S,application/vnd.google-apps.document,2026-04-01T23:52:33.822Z,https://docs.google.com/document/d/1H0eST43cnVDNMkuBmiA1sV91ARLYkD-KESWyKfuCm_c/edit?usp=drivesdk,1H0eST43cnVDNMkuBmiA1sV91ARLYkD-KESWyKfuCm_c,Jeffrey Burns
Dr. Burn Links,application/vnd.google-apps.document,2026-04-01T23:12:48.101Z,https://docs.google.com/document/d/1rLB-kFDqnJBaUvGB-pXR-IdHb96iU-GuukMG66hGL7o/edit?usp=drivesdk,1rLB-kFDqnJBaUvGB-pXR-IdHb96iU-GuukMG66hGL7o,Jeffrey Burns
Primof Financial Statement,application/vnd.google-apps.spreadsheet,2026-03-24T00:34:44.416Z,https://docs.google.com/spreadsheets/d/1k2-xefj2dYy-2XayyDkrCr0TojR78cfqRB_EhOWr1l4/edit?usp=drivesdk,1k2-xefj2dYy-2XayyDkrCr0TojR78cfqRB_EhOWr1l4,Dr. Burns
Project Tracker,application/vnd.google-apps.spreadsheet,2026-02-27T00:05:39.706Z,https://docs.google.com/spreadsheets/d/1KEmdPJAXKB3uwjt0sLgue9eTdDIcuUQxXNQ5S2O8oeA/edit?usp=drivesdk,1KEmdPJAXKB3uwjt0sLgue9eTdDIcuUQxXNQ5S2O8oeA,Jeffrey Burns
"Fuck it. Bye, guys. Is it working No. Oh, we both have the same. Awesome….md",text/markdown,2026-02-12T10:50:43.000Z,https://drive.google.com/file/d/1BwpSC_JLD45vluaeM0VN8s_EwYamC2RF/view?usp=drivesdk,1BwpSC_JLD45vluaeM0VN8s_EwYamC2RF,Jeff Burns
text.txt,text/plain,2026-02-12T10:42:53.000Z,https://drive.google.com/file/d/1UD1FNjU6W5v1l5aDD_aGnh7Nb__bDQm6/view?usp=drivesdk,1UD1FNjU6W5v1l5aDD_aGnh7Nb__bDQm6,Jeff Burns
Oz landing apges,application/vnd.google-apps.document,2026-02-11T01:59:58.234Z,https://docs.google.com/document/d/1W867NyZFO7PJl8ljK1lAdoVbddNTNF-PZ4m8NRES41k/edit?usp=drivesdk,1W867NyZFO7PJl8ljK1lAdoVbddNTNF-PZ4m8NRES41k,Jeff Burns
Dr jeffrey,application/vnd.google-apps.document,2026-01-05T10:36:22.550Z,https://docs.google.com/document/d/1J0GVqJRg_9LtX65FIm1_GKOqVZrN3L02ENuLJ-oBWp4/edit?usp=drivesdk,1J0GVqJRg_9LtX65FIm1_GKOqVZrN3L02ENuLJ-oBWp4,Jeffrey Burns
Meeting Minutes: 11/19/2025,application/vnd.google-apps.document,2025-12-28T00:23:51.370Z,https://docs.google.com/document/d/19XoSin-bNDSCcvhO2gDjJbQwz1O8puqF-Q3TSVqfAMA/edit?usp=drivesdk,19XoSin-bNDSCcvhO2gDjJbQwz1O8puqF-Q3TSVqfAMA,Jeffrey Burns
_OceanofPDF.com_The_Slight_Edge__Turning_Simple_Discipline_-_Jeff_Olson.pdf,application/pdf,2025-11-21T07:48:58.000Z,https://drive.google.com/file/d/1jIzl-k9ApwsRo5JRJYfhskfuawK_Whst/view?usp=drivesdk,1jIzl-k9ApwsRo5JRJYfhskfuawK_Whst,Jeffrey Burns
_OceanofPDF.com_The_Slight_Edge__Turning_Simple_Discipline_-_Jeff_Olson.epub,application/epub+zip,2025-11-21T07:48:53.000Z,https://drive.google.com/file/d/1oLj5j6VuandSgHimApYrp7-dGtAbMAV3/view?usp=drivesdk,1oLj5j6VuandSgHimApYrp7-dGtAbMAV3,Jeffrey Burns
MM+Action+Workbook+2021.pdf,application/pdf,2025-11-13T07:11:46.720Z,https://drive.google.com/file/d/1j8lcS-wmsEt62JDS4M3KJQRn18lwif-y/view?usp=drivesdk,1j8lcS-wmsEt62JDS4M3KJQRn18lwif-y,Jeffrey Burns
Dr. Burns Lecture (10-25-25) TikTok.mov,video/quicktime,2025-10-27T18:55:29.819Z,https://drive.google.com/file/d/1K9wr9xKJpGMs8ny5AwSNw3RvXyeV1AtP/view?usp=drivesdk,1K9wr9xKJpGMs8ny5AwSNw3RvXyeV1AtP,Dr. Burns
_OceanofPDF.com_Launch__An_Internet_Millionaires_Secret_F_-_Jeff_Walker.epub,application/epub+zip,2025-10-07T18:08:36.000Z,https://drive.google.com/file/d/1iHa-znosFv4dW230NuH081G1sGG5eVOE/view?usp=drivesdk,1iHa-znosFv4dW230NuH081G1sGG5eVOE,Jeffrey Burns
PLC Content Scripts - Full Arch Sales Framework.pdf,application/pdf,2025-09-02T05:33:46.740Z,https://drive.google.com/file/d/1Fqp7a6AY0vbD9qD1Y-KTGKq8KgXDzwAt/view?usp=drivesdk,1Fqp7a6AY0vbD9qD1Y-KTGKq8KgXDzwAt,Dr. Burns
Stacey's Full Arch Sales Framework - Complete Launch Page Copy.pdf,application/pdf,2025-09-02T05:20:32.029Z,https://drive.google.com/file/d/1NGTFeoJJirEcLLW_kiIhqm4oiFIyuzmf/view?usp=drivesdk,1NGTFeoJJirEcLLW_kiIhqm4oiFIyuzmf,Dr. Burns
Copy of Iconic Pricing Calculator Submissions,application/vnd.google-apps.spreadsheet,2025-06-20T08:50:28.729Z,https://docs.google.com/spreadsheets/d/1fJiaQa_UsX41Lbq93YYfuX9oOWrOxVSnAfOdKFcpIUU/edit?usp=drivesdk,1fJiaQa_UsX41Lbq93YYfuX9oOWrOxVSnAfOdKFcpIUU,Jeffrey Burns
Gym_Launch_Secrets_-_Alex_Hormozi.pdf,application/pdf,2025-06-02T18:36:27.000Z,https://drive.google.com/file/d/1bbsp86ZjVn6yIHjIuhvn7JJFo0MK4jdP/view?usp=drivesdk,1bbsp86ZjVn6yIHjIuhvn7JJFo0MK4jdP,Jeff Burns
_OceanofPDF.com_Key_Person_of_Influence__The_Five-Step_Met_-_Kevin_Harrington.pdf,application/pdf,2025-02-09T14:43:14.000Z,https://drive.google.com/file/d/1pqBf2xS4CXJszBudY6KTJ_bkim2AzbBv/view?usp=drivesdk,1pqBf2xS4CXJszBudY6KTJ_bkim2AzbBv,Jeff Burns
turn this transcript into a presentation:,application/vnd.google-apps.document,2025-01-24T07:31:10.584Z,https://docs.google.com/document/d/1rq8V5NlsUMQgrfU6ccxdJYlTJ78rsWmsWZF0fjIl-B0/edit?usp=drivesdk,1rq8V5NlsUMQgrfU6ccxdJYlTJ78rsWmsWZF0fjIl-B0,Jeff Burns
457388085_883541090313710_8548791066172998102_n_883541086980377.jpg,image/jpeg,2024-10-24T02:40:35.000Z,https://drive.google.com/file/d/1YsvKJY8WYZ1603oc1FRousObjiCLRlpU/view?usp=drivesdk,1YsvKJY8WYZ1603oc1FRousObjiCLRlpU,Jeffrey Burns
WayOfTheWolfStraightLineSellingMasterTheArtOfPersuasionInfluenceAndSuccess_2017105715335513.pdf,application/pdf,2024-10-24T02:24:11.000Z,https://drive.google.com/file/d/1fCYaLSW3ggl3y-VOQ5Q-7NSh234eSmF0/view?usp=drivesdk,1fCYaLSW3ggl3y-VOQ5Q-7NSh234eSmF0,Dr. Burns
_OceanofPDF.com_Copywriting_Secrets_-_Jim_Edwards.epub,application/epub+zip,2024-06-07T07:16:23.000Z,https://drive.google.com/file/d/1dL6QV9Sk75JjorYn_ZtH1fm_Ds8lJSH0/view?usp=drivesdk,1dL6QV9Sk75JjorYn_ZtH1fm_Ds8lJSH0,Jeff Burns
_OceanofPDF.com_Copywriting_Secrets_-_Jim_Edwards.epub,application/epub+zip,2024-06-07T07:16:23.000Z,https://drive.google.com/file/d/1qNbh2895G-sFyXWNe_uCHx0QLT-Hlu2j/view?usp=drivesdk,1qNbh2895G-sFyXWNe_uCHx0QLT-Hlu2j,Jeff Burns
_OceanofPDF.com_Gym_Launch_Secrets_-_Alex_Hormozi.pdf,application/pdf,2024-06-05T17:18:01.000Z,https://drive.google.com/file/d/1t1sQ102WXkJ44Rcjh3lzcYcgZD-2lLfi/view?usp=drivesdk,1t1sQ102WXkJ44Rcjh3lzcYcgZD-2lLfi,Jeff Burns
Perennial_Seller_-_Ryan_Holiday.epub,application/epub+zip,2024-04-25T12:56:41.000Z,https://drive.google.com/file/d/1NWVfunFyNDtyOY84-HpkHgiTg7S2oO1a/view?usp=drivesdk,1NWVfunFyNDtyOY84-HpkHgiTg7S2oO1a,Jeff Burns
Perennial_Seller_-_Ryan_Holiday.epub,application/epub+zip,2024-04-25T12:56:41.000Z,https://drive.google.com/file/d/1dKDTrrn6CBz6FyWqRK0UCNTZZ6D4c2Zo/view?usp=drivesdk,1dKDTrrn6CBz6FyWqRK0UCNTZZ6D4c2Zo,Jeff Burns
_OceanofPDF.com_100M_Offers_-_Alex_Hormozi.pdf,application/pdf,2024-04-06T16:14:28.000Z,https://drive.google.com/file/d/1hxLd-J1NKWoYV-LBhcYRYIizO1pv8BS2/view?usp=drivesdk,1hxLd-J1NKWoYV-LBhcYRYIizO1pv8BS2,Jeff Burns
_OceanofPDF.com_100M_Offers_-_Alex_Hormozi.pdf,application/pdf,2024-04-06T16:14:28.000Z,https://drive.google.com/file/d/1ZRpU_DUyy5vVzmzBjFRG0gc3tbfgxFlz/view?usp=drivesdk,1ZRpU_DUyy5vVzmzBjFRG0gc3tbfgxFlz,Jeff Burns
Setter Center Universal Updates/Project Tracker,application/vnd.google-apps.spreadsheet,2023-05-02T18:08:41.432Z,https://docs.google.com/spreadsheets/d/1g-geiA-hx_sHoj_FLx-J6vwp05b7bytkXGZHF9W4noo/edit?usp=drivesdk,1g-geiA-hx_sHoj_FLx-J6vwp05b7bytkXGZHF9W4noo,Jeffrey Burns
Time_2022_12_17_00_39_49.png,image/jpeg,2022-12-19T06:52:26.000Z,https://drive.google.com/file/d/1KdYw_AW9dIj10jUvTNCNsuuiKCKiOzUI/view?usp=drivesdk,1KdYw_AW9dIj10jUvTNCNsuuiKCKiOzUI,Dr. Burns
Time_2022_12_15_23_36_46.png,image/jpeg,2022-12-19T05:07:31.000Z,https://drive.google.com/file/d/19avICugq8paBD5i9D6TK_6rDNuHAbQYk/view?usp=drivesdk,19avICugq8paBD5i9D6TK_6rDNuHAbQYk,Dr. Burns
Sales Growth_ Five Proven Strategies from the World’s Sales Leaders ( PDFDrive ).pdf,application/pdf,2022-03-19T18:15:56.000Z,https://drive.google.com/file/d/10MpvWM_0wpgauhv51NAplQRgDviNS7ku/view?usp=drivesdk,10MpvWM_0wpgauhv51NAplQRgDviNS7ku,Dr. Burns
Unlimited Sales Success_ 12 Simple Steps for Selling More Than You Ever Thought Possible ( PDFDrive ).pdf,application/pdf,2022-03-19T18:15:56.000Z,https://drive.google.com/file/d/1NAsazvHCCGEGBCXcmtMv8Hrh3kzeyMop/view?usp=drivesdk,1NAsazvHCCGEGBCXcmtMv8Hrh3kzeyMop,Dr. Burns
Sales Mastery_ The Sales Book Your Competition Doesn_t Want You to Read   ( PDFDrive ).pdf,application/pdf,2022-03-19T18:15:54.000Z,https://drive.google.com/file/d/1Cp-PylFXAsXI74Te7M20e1DG2mwI-Jji/view?usp=drivesdk,1Cp-PylFXAsXI74Te7M20e1DG2mwI-Jji,Jeffrey Burns
